run_id,item_id,condition,repeat
P2R211,B02,G,2
P2R212,B07,H,3
P2R213,B02,H,3
P2R214,B01,G,3
P2R215,E05,S,3
P2R216,E02,G,1
P2R217,B02,G,3
P2R218,B07,S,1
P2R219,B05,H,3
P2R220,E08,H,2
P2R221,E01,H,1
P2R222,E04,S,2
P2R223,B04,F,3
P2R224,E08,G,3
P2R225,E02,F,1
P2R226,B08,S,3
P2R227,B04,H,2
P2R228,E01,7S,2
P2R229,B02,H,1
P2R230,B04,S,3
P2R231,E06,H,3
P2R232,E08,S,1
P2R233,B05,S,2
P2R234,E07-v2,7S,1
P2R235,E03-v2,7S,2
P2R236,E02,H,2
P2R237,E02,S,2
P2R238,E07-v2,G,3
P2R239,E04,G,2
P2R240,B01,H,3
